"X","logFC","logCPM","PValue","FDR"
"CST1",-3.24507362151774,6.66395737449868,1.54975166349953e-06,0.0116606401447238
"MMP3",-2.39791783216215,6.99959788104071,1.6361845527654e-06,0.0116606401447238
"MMP1",-2.08289711412658,7.15675520811431,2.03786091309399e-06,0.0116606401447238
"REG1B",-2.63733730957261,6.86254860223898,3.87920000320998e-06,0.0166475868137756
"MMP7",-3.30935306881792,6.58597705156915,1.09674190228443e-05,0.0376533429892291
"REG1A",-1.63937835994648,7.37215075193393,1.40748675622249e-05,0.0402681960955254
"CXCL5",-2.50782352485188,6.78511903039373,1.9301618212357e-05,0.0473330826047601
"INHBA",-2.71708423019701,6.7094611315474,2.74409915916629e-05,0.0588815077078106
"IL8",-1.74920176086532,7.18672721485878,3.30549985823355e-05,0.061595961764204
"CDH3",-2.82789919488974,6.61687500893355,3.58825362718187e-05,0.061595961764204
"OTOP2",2.99882978386184,6.53393801190886,4.00548051907877e-05,0.0625073441731875
